Iterations;Runtime;
1000;46;134;
1000;43;108;
1000;46;113;
1000;43;111;
1000;41;109;
2000;84;224;
2000;83;243;
2000;85;223;
2000;82;221;
2000;87;218;
3000;132;333;
3000;127;331;
3000;126;335;
3000;127;335;
3000;128;331;
4000;170;460;
4000;171;436;
4000;173;446;
4000;176;444;
4000;170;448;
5000;211;550;
5000;215;545;
5000;212;557;
5000;213;562;
5000;216;548;
6000;262;660;
6000;257;663;
6000;250;680;
6000;263;677;
6000;255;694;
7000;317;794;
7000;298;799;
7000;299;789;
7000;300;795;
7000;305;811;
8000;347;899;
8000;347;922;
8000;341;916;
8000;349;931;
8000;349;897;
9000;390;1000;
9000;383;1006;
9000;390;1151;
9000;417;1037;
9000;388;1014;
10000;419;1113;
10000;424;1133;
10000;431;1096;
10000;433;1143;
10000;452;1120;
11000;474;1219;
11000;471;1216;
11000;475;1246;
11000;471;1223;
11000;469;1217;
12000;519;1314;
12000;537;1362;
12000;502;1329;
12000;508;1353;
12000;518;1327;
13000;561;1459;
13000;569;1454;
13000;562;1460;
13000;561;1469;
13000;562;1433;
14000;605;1565;
14000;601;1567;
14000;600;1583;
14000;596;1545;
14000;610;1549;
15000;638;1639;
15000;637;1718;
15000;643;1655;
15000;656;1895;
15000;652;1718;
16000;697;1867;
16000;727;1871;
16000;699;1877;
16000;697;1958;
16000;696;1830;
17000;761;1969;
17000;739;1968;
17000;746;1957;
17000;747;1898;
17000;740;1919;
18000;769;2028;
18000;786;2036;
18000;766;2037;
18000;789;1994;
18000;768;2017;
19000;812;2141;
19000;817;2128;
19000;818;2117;
19000;844;2118;
19000;811;2143;
