Iterations;Runtime;
1000;9;13;
1000;7;11;
1000;6;11;
1000;7;11;
1000;7;13;
2000;14;23;
2000;14;21;
2000;14;22;
2000;13;21;
2000;13;21;
3000;20;32;
3000;20;32;
3000;21;32;
3000;20;32;
3000;20;33;
4000;27;46;
4000;30;48;
4000;30;44;
4000;27;42;
4000;27;46;
5000;39;66;
5000;33;54;
5000;38;66;
5000;38;57;
5000;34;54;
6000;41;65;
6000;41;64;
6000;45;72;
6000;41;64;
6000;41;65;
7000;48;75;
7000;49;104;
7000;57;79;
7000;48;76;
7000;47;77;
8000;58;95;
8000;56;85;
8000;54;85;
8000;54;86;
8000;53;85;
9000;61;96;
9000;61;96;
9000;65;109;
9000;61;97;
9000;61;97;
10000;68;107;
10000;68;107;
10000;69;112;
10000;71;112;
10000;67;108;
11000;74;120;
11000;73;119;
11000;73;119;
11000;74;125;
11000;76;121;
12000;82;130;
12000;79;133;
12000;81;132;
12000;81;136;
12000;85;133;
13000;91;143;
13000;91;144;
13000;90;143;
13000;97;144;
13000;91;144;
14000;95;150;
14000;98;154;
14000;99;168;
14000;98;173;
14000;102;168;
15000;105;179;
15000;113;170;
15000;107;169;
15000;113;182;
15000;112;185;
16000;112;189;
16000;121;183;
16000;118;187;
16000;122;190;
16000;118;180;
17000;116;186;
17000;118;193;
17000;121;200;
17000;125;192;
17000;121;193;
18000;129;200;
18000;126;203;
18000;124;202;
18000;121;197;
18000;128;196;
19000;128;212;
19000;133;210;
19000;134;220;
19000;137;227;
19000;135;208;
