Iterations;Runtime;
1000;24;51;
1000;21;51;
1000;21;46;
1000;21;45;
1000;21;47;
2000;42;97;
2000;46;95;
2000;44;94;
2000;42;93;
2000;43;91;
3000;63;148;
3000;65;136;
3000;64;145;
3000;64;138;
3000;65;134;
4000;87;183;
4000;84;186;
4000;83;177;
4000;88;181;
4000;86;181;
5000;103;234;
5000;106;242;
5000;109;240;
5000;106;237;
5000;106;235;
6000;129;319;
6000;126;282;
6000;132;273;
6000;126;276;
6000;126;285;
7000;142;315;
7000;148;327;
7000;145;348;
7000;149;328;
7000;143;318;
8000;164;372;
8000;165;377;
8000;163;388;
8000;165;372;
8000;168;373;
9000;187;413;
9000;185;421;
9000;183;411;
9000;194;407;
9000;185;413;
10000;214;460;
10000;216;463;
10000;216;455;
10000;216;463;
10000;211;457;
11000;237;530;
11000;239;522;
11000;245;548;
11000;241;521;
11000;234;512;
12000;266;558;
12000;263;556;
12000;256;571;
12000;278;573;
12000;257;554;
13000;285;602;
13000;274;593;
13000;276;605;
13000;271;685;
13000;310;645;
14000;328;764;
14000;308;716;
14000;339;697;
14000;315;765;
14000;324;706;
15000;350;809;
15000;347;828;
15000;358;734;
15000;345;726;
15000;334;718;
16000;355;765;
16000;384;772;
16000;355;785;
16000;358;755;
16000;356;780;
17000;374;811;
17000;371;825;
17000;350;804;
17000;379;814;
17000;387;817;
18000;395;886;
18000;379;792;
18000;412;876;
18000;404;893;
18000;400;866;
19000;432;918;
19000;432;928;
19000;421;918;
19000;428;899;
19000;435;939;
