C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,19;29,5863238573074;1,557175;2,020601;0,3233182;
0,2;29,9307613372803;1,575303;2,054933;0,3334159;
0,2;29,9322370290756;1,575381;2,054944;0,3335809;
0,2;29,9322370290756;1,575381;2,054944;0,3335809;
0,2;29,9313389062881;1,575334;2,054407;0,3334472;
0,2;29,9308619499207;1,575309;2,05518;0,3334484;
0,21;30,2667007446289;1,592984;2,088554;0,3432598;
0,21;30,2665654420853;1,592977;2,087934;0,3431755;
0,21;30,2670335769653;1,593002;2,089472;0,3433374;
0,21;30,2672007083893;1,59301;2,087209;0,3432289;
0,21;30,2672007083893;1,59301;2,087209;0,3432289;
0,22;30,5961986780167;1,610326;2,121651;0,3530517;
0,22;30,5946224927902;1,610243;2,121272;0,3528352;
0,22;30,5952816009521;1,610278;2,120561;0,3528605;
0,22;30,5952816009521;1,610278;2,120561;0,3528605;
0,22;30,5946060419083;1,610242;2,121293;0,352834;
0,23;30,9151624441147;1,627114;2,15344;0,3622266;
0,23;30,9151624441147;1,627114;2,15344;0,3622266;
0,23;30,91468501091;1,627089;2,152204;0,3620546;
0,23;30,91468501091;1,627089;2,152204;0,3620546;
0,23;30,9146076440811;1,627085;2,151062;0,3619792;
0,24;31,2284533977509;1,643603;2,184588;0,3713025;
0,24;31,2284533977509;1,643603;2,184588;0,3713025;
0,24;31,2286146879196;1,643612;2,183503;0,3712452;
0,24;31,2297452688217;1,643671;2,185972;0,3715047;
0,24;31,2284287214279;1,643601;2,184592;0,3713145;
0,25;31,5355191230774;1,659764;2,214236;0,3801947;
0,25;31,5366079807281;1,659822;2,2166;0,3804644;
0,25;31,5367703437805;1,65983;2,216571;0,3805082;
0,25;31,5367703437805;1,65983;2,216571;0,3805082;
0,25;31,5362167358398;1,659801;2,215576;0,380382;
0,26;31,8354816436768;1,675552;2,244974;0,3888946;
0,26;31,8354816436768;1,675552;2,244974;0,3888946;
0,26;31,8372101783752;1,675643;2,247061;0,389231;
0,26;31,8355648517609;1,675556;2,243048;0,3888023;
0,26;31,8359806537628;1,675578;2,243115;0,3888315;
0,27;32,1306349039078;1,691086;2,272645;0,3973838;
0,27;32,1318205595016;1,691148;2,276731;0,3977974;
0,27;32,1317911148071;1,691147;2,276887;0,3977929;
0,27;32,1303825378418;1,691073;2,272091;0,3973092;
0,27;32,1305375099182;1,691081;2,275217;0,39758;
0,28;32,4195502996445;1,706292;2,304233;0,4059448;
0,28;32,4195502996445;1,706292;2,304233;0,4059448;
0,28;32,4194775819778;1,706288;2,301575;0,4057481;
0,28;32,4196434020996;1,706297;2,301403;0,4057374;
0,28;32,4196434020996;1,706297;2,301403;0,4057374;
0,29;32,7043348550797;1,721281;2,334225;0,4143498;
0,29;32,7031818628311;1,72122;2,332141;0,4141229;
0,29;32,7036918401718;1,721247;2,331882;0,4140855;
0,29;32,7036918401718;1,721247;2,331882;0,4140855;
0,29;32,7034105062485;1,721232;2,332421;0,4142082;
0,3;32,983206152916;1,735958;2,362882;0,4224789;
0,3;32,983206152916;1,735958;2,362882;0,4224789;
