Iterations;Runtime;
1000;22;51;
1000;21;48;
1000;21;43;
1000;20;43;
1000;20;43;
2000;41;87;
2000;42;90;
2000;41;88;
2000;42;90;
2000;43;89;
3000;59;134;
3000;62;135;
3000;58;130;
3000;60;129;
3000;61;136;
4000;80;175;
4000;81;171;
4000;79;171;
4000;78;180;
4000;80;173;
5000;99;220;
5000;103;215;
5000;106;218;
5000;102;218;
5000;102;217;
6000;122;274;
6000;121;268;
6000;124;268;
6000;122;258;
6000;120;263;
7000;141;310;
7000;140;308;
7000;142;309;
7000;138;313;
7000;136;308;
8000;161;349;
8000;164;341;
8000;168;356;
8000;160;343;
8000;165;347;
9000;180;386;
9000;184;391;
9000;185;397;
9000;180;399;
9000;176;399;
10000;202;434;
10000;203;441;
10000;204;439;
10000;207;429;
10000;202;443;
11000;223;470;
11000;225;484;
11000;223;476;
11000;213;479;
11000;232;488;
12000;248;518;
12000;241;535;
12000;239;518;
12000;251;520;
12000;240;544;
13000;257;569;
13000;262;566;
13000;259;561;
13000;261;561;
13000;260;598;
14000;276;605;
14000;276;617;
14000;287;600;
14000;278;622;
14000;292;607;
15000;311;660;
15000;295;656;
15000;301;678;
15000;310;674;
15000;305;664;
16000;329;698;
16000;321;712;
16000;328;692;
16000;321;707;
16000;316;707;
17000;340;768;
17000;347;747;
17000;350;743;
17000;349;741;
17000;338;760;
18000;371;774;
18000;371;790;
18000;372;784;
18000;369;797;
18000;366;785;
19000;386;837;
19000;388;824;
19000;391;827;
19000;390;815;
19000;391;838;
