Iterations;Runtime;
1000;22;48;
1000;22;48;
1000;20;43;
1000;20;43;
1000;19;43;
2000;40;86;
2000;41;86;
2000;41;86;
2000;39;86;
2000;44;88;
3000;59;136;
3000;64;132;
3000;61;130;
3000;62;131;
3000;61;136;
4000;79;178;
4000;80;175;
4000;86;180;
4000;81;186;
4000;81;182;
5000;101;224;
5000;102;219;
5000;105;217;
5000;101;216;
5000;101;216;
6000;115;271;
6000;122;260;
6000;121;267;
6000;126;259;
6000;120;267;
7000;139;314;
7000;143;315;
7000;143;310;
7000;141;312;
7000;141;303;
8000;169;349;
8000;157;347;
8000;166;347;
8000;162;345;
8000;170;352;
9000;183;399;
9000;186;390;
9000;180;400;
9000;178;397;
9000;181;395;
10000;202;441;
10000;209;441;
10000;202;442;
10000;197;434;
10000;196;449;
11000;221;502;
11000;226;490;
11000;226;486;
11000;223;494;
11000;218;472;
12000;246;533;
12000;240;543;
12000;243;542;
12000;241;524;
12000;248;535;
13000;258;575;
13000;263;584;
13000;258;567;
13000;271;569;
13000;259;564;
14000;287;618;
14000;275;612;
14000;285;615;
14000;284;642;
14000;288;612;
15000;309;654;
15000;308;658;
15000;306;712;
15000;324;685;
15000;306;650;
16000;330;712;
16000;316;695;
16000;328;715;
16000;324;710;
16000;312;706;
17000;355;771;
17000;356;780;
17000;354;745;
17000;367;751;
17000;348;749;
18000;363;804;
18000;345;796;
18000;368;815;
18000;368;800;
18000;358;803;
19000;393;823;
19000;397;837;
19000;389;838;
19000;398;840;
19000;391;831;
