Iterations;Runtime;
1000;77;228;
1000;66;197;
1000;72;216;
1000;67;231;
1000;69;228;
2000;140;463;
2000;149;488;
2000;153;475;
2000;143;464;
2000;143;453;
3000;224;708;
3000;225;692;
3000;221;728;
3000;243;730;
3000;226;675;
4000;303;1027;
4000;291;906;
4000;280;883;
4000;299;893;
4000;282;909;
5000;376;1153;
5000;373;1140;
5000;385;1197;
5000;385;1148;
5000;380;1153;
6000;461;1441;
6000;440;1402;
6000;441;1476;
6000;457;1317;
6000;441;1434;
7000;538;1796;
7000;542;1754;
7000;529;1636;
7000;536;1658;
7000;532;1696;
8000;593;1853;
8000;582;1737;
8000;580;1815;
8000;604;2001;
8000;615;1800;
9000;724;2094;
9000;704;2137;
9000;657;1979;
9000;654;2010;
9000;728;2163;
10000;736;2425;
10000;759;2390;
10000;746;2297;
10000;740;2371;
10000;772;2327;
11000;839;2779;
11000;832;2696;
11000;826;2852;
11000;869;2877;
11000;830;2956;
12000;950;3071;
12000;938;3060;
12000;920;3047;
12000;893;3075;
12000;898;3002;
13000;962;3320;
13000;971;3187;
13000;1015;3066;
13000;998;3469;
13000;982;3109;
14000;1126;3324;
14000;1061;3252;
14000;1008;3284;
14000;1038;3339;
14000;1063;3523;
15000;1121;3640;
15000;1091;3521;
15000;1112;3264;
15000;1095;3437;
15000;1093;3325;
16000;1207;3749;
16000;1221;3850;
16000;1196;3661;
16000;1196;3623;
16000;1175;3502;
17000;1176;3679;
17000;1221;3611;
17000;1220;3665;
17000;1222;3647;
17000;1221;3612;
18000;1263;3838;
18000;1299;3963;
18000;1306;3825;
18000;1318;3883;
18000;1294;3860;
19000;1363;4177;
19000;1343;3990;
19000;1369;4014;
19000;1387;4059;
19000;1366;4103;
