Iterations;Runtime;
1000;71;209;
1000;73;207;
1000;66;189;
1000;65;189;
1000;67;208;
2000;134;372;
2000;135;382;
2000;142;391;
2000;133;383;
2000;133;373;
3000;201;570;
3000;205;569;
3000;197;621;
3000;202;577;
3000;205;578;
4000;268;781;
4000;269;767;
4000;270;778;
4000;257;765;
4000;266;766;
5000;340;1005;
5000;335;966;
5000;351;1014;
5000;355;1012;
5000;355;1012;
6000;403;1245;
6000;425;1417;
6000;421;1199;
6000;422;1231;
6000;412;1182;
7000;487;1396;
7000;461;1383;
7000;479;1442;
7000;488;1359;
7000;466;1403;
8000;522;1531;
8000;539;1546;
8000;558;1576;
8000;548;1534;
8000;522;1518;
9000;613;1764;
9000;590;1743;
9000;605;1806;
9000;610;1749;
9000;576;1877;
10000;691;1997;
10000;679;1997;
10000;661;2019;
10000;680;1984;
10000;664;1953;
11000;757;2179;
11000;735;2244;
11000;756;2131;
11000;750;2136;
11000;711;2133;
12000;770;2311;
12000;805;2349;
12000;809;2313;
12000;807;2449;
12000;862;2442;
13000;878;2529;
13000;858;2555;
13000;867;2588;
13000;867;2759;
13000;894;2724;
14000;954;2884;
14000;997;3149;
14000;1050;3091;
14000;990;2835;
14000;976;2892;
15000;1052;3045;
15000;1022;3103;
15000;1041;3021;
15000;1024;3252;
15000;1058;3528;
16000;1077;3456;
16000;1090;3304;
16000;1101;3426;
16000;1090;3271;
16000;1073;3286;
17000;1177;3466;
17000;1215;3600;
17000;1208;3788;
17000;1168;3395;
17000;1142;3415;
18000;1244;3658;
18000;1249;3590;
18000;1231;3667;
18000;1208;3601;
18000;1231;3706;
19000;1303;3820;
19000;1295;3815;
19000;1320;3838;
19000;1296;3909;
19000;1340;3828;
