Iterations;Runtime;
1000;24;55;
1000;21;51;
1000;21;51;
1000;21;51;
1000;21;49;
2000;42;96;
2000;40;89;
2000;40;90;
2000;43;88;
2000;39;86;
3000;61;134;
3000;63;133;
3000;56;126;
3000;57;132;
3000;57;129;
4000;76;175;
4000;77;175;
4000;84;180;
4000;82;178;
4000;84;181;
5000;98;211;
5000;97;230;
5000;106;240;
5000;105;253;
5000;102;230;
6000;127;285;
6000;127;289;
6000;123;306;
6000;126;288;
6000;113;270;
7000;146;347;
7000;143;338;
7000;139;339;
7000;143;337;
7000;147;328;
8000;160;378;
8000;168;388;
8000;160;381;
8000;164;399;
8000;169;378;
9000;183;400;
9000;168;374;
9000;177;384;
9000;172;377;
9000;178;382;
10000;187;438;
10000;193;448;
10000;199;466;
10000;193;432;
10000;206;433;
11000;208;500;
11000;202;470;
11000;217;492;
11000;213;475;
11000;214;490;
12000;237;515;
12000;240;528;
12000;228;507;
12000;223;549;
12000;259;543;
13000;254;597;
13000;263;554;
13000;249;564;
13000;240;538;
13000;254;594;
14000;303;614;
14000;287;614;
14000;268;597;
14000;270;617;
14000;277;601;
15000;298;628;
15000;295;624;
15000;291;642;
15000;295;643;
15000;295;645;
16000;305;781;
16000;339;738;
16000;334;781;
16000;349;770;
16000;340;716;
17000;343;759;
17000;325;714;
17000;338;747;
17000;325;730;
17000;332;724;
18000;334;749;
18000;343;754;
18000;363;825;
18000;350;762;
18000;341;830;
19000;388;901;
19000;389;803;
19000;361;809;
19000;374;820;
19000;363;862;
