Iterations;Runtime;
1000;16;14;
1000;5;10;
1000;5;10;
1000;5;9;
1000;5;11;
2000;11;20;
2000;11;19;
2000;12;20;
2000;11;20;
2000;11;21;
3000;17;29;
3000;17;30;
3000;17;30;
3000;17;35;
3000;19;32;
4000;25;41;
4000;23;40;
4000;23;41;
4000;25;39;
4000;23;39;
5000;29;49;
5000;29;49;
5000;28;49;
5000;31;49;
5000;30;49;
6000;36;59;
6000;36;58;
6000;34;67;
6000;37;60;
6000;35;60;
7000;40;70;
7000;41;69;
7000;41;68;
7000;42;73;
7000;42;71;
8000;47;80;
8000;47;86;
8000;48;80;
8000;48;80;
8000;48;80;
9000;54;90;
9000;54;90;
9000;55;92;
9000;53;89;
9000;59;89;
10000;59;98;
10000;58;98;
10000;59;102;
10000;60;100;
10000;59;99;
11000;65;118;
11000;65;111;
11000;66;110;
11000;65;111;
11000;64;113;
12000;72;122;
12000;77;128;
12000;73;123;
12000;70;122;
12000;70;120;
13000;75;130;
13000;76;138;
13000;82;134;
13000;77;132;
13000;77;130;
14000;82;140;
14000;88;140;
14000;81;141;
14000;82;140;
14000;82;138;
15000;86;154;
15000;87;148;
15000;89;150;
15000;87;150;
15000;88;152;
16000;100;160;
16000;98;160;
16000;94;161;
16000;95;169;
16000;102;161;
17000;104;171;
17000;100;171;
17000;100;177;
17000;101;172;
17000;103;171;
18000;106;186;
18000;107;186;
18000;108;180;
18000;109;188;
18000;111;189;
19000;119;191;
19000;116;192;
19000;113;192;
19000;118;192;
19000;115;190;
10500;59;101;
11000;63;110;
11000;64;110;
11000;73;111;
11000;67;107;
11000;68;113;
11500;66;118;
11500;72;124;
11500;70;115;
11500;64;122;
11500;70;113;
12000;71;126;
12000;71;116;
12000;69;129;
12000;68;116;
12000;72;115;
12500;73;129;
12500;72;122;
12500;69;119;
12500;68;124;
12500;83;133;
13000;77;129;
13000;78;126;
13000;74;126;
13000;79;129;
13000;80;132;
13500;77;134;
13500;82;134;
13500;77;144;
13500;78;154;
13500;85;143;
14000;83;141;
14000;88;139;
14000;83;144;
14000;78;157;
14000;80;146;
14500;85;140;
14500;80;147;
14500;80;152;
14500;92;139;
14500;83;137;
15000;82;154;
15000;89;156;
15000;88;156;
15000;84;150;
15000;86;158;
15500;90;155;
15500;94;155;
15500;92;167;
15500;89;148;
15500;91;158;
16000;89;164;
16000;97;157;
16000;88;153;
16000;90;158;
16000;100;176;
16500;96;162;
16500;96;165;
16500;103;194;
16500;115;215;
16500;97;163;
17000;115;191;
17000;111;188;
17000;113;188;
17000;103;177;
17000;117;213;
17500;119;211;
17500;105;186;
17500;107;206;
17500;109;211;
17500;125;202;
18000;120;214;
18000;126;213;
18000;121;213;
18000;118;204;
18000;121;225;
18500;131;248;
18500;133;228;
18500;117;232;
18500;143;239;
18500;117;201;
19000;124;214;
19000;143;237;
19000;125;197;
19000;105;181;
19000;111;188;
19500;107;189;
19500;109;189;
19500;108;192;
19500;109;188;
19500;109;196;
20000;117;196;
20000;117;196;
20000;113;192;
20000;111;193;
20000;113;198;
20500;113;224;
20500;126;204;
20500;117;221;
20500;117;207;
20500;114;213;
21000;128;235;
21000;117;205;
21000;116;203;
21000;118;216;
21000;128;210;
21500;131;225;
21500;121;245;
21500;129;222;
21500;125;217;
21500;121;224;
22000;124;215;
22000;124;215;
22000;124;222;
22000;122;212;
22000;121;211;
22500;128;239;
22500;132;219;
22500;128;224;
22500;126;228;
22500;128;217;
23000;129;218;
23000;132;234;
23000;130;225;
23000;137;220;
23000;131;226;
23500;131;224;
23500;132;231;
23500;139;226;
23500;133;227;
23500;132;227;
24000;142;229;
24000;134;245;
24000;141;239;
24000;136;227;
24000;137;229;
24500;137;238;
24500;138;232;
24500;136;231;
24500;136;241;
24500;135;241;
25000;149;258;
25000;149;245;
25000;141;241;
25000;142;249;
25000;140;241;
25500;147;250;
25500;146;248;
25500;143;241;
25500;144;299;
25500;145;245;
26000;151;287;
26000;167;250;
26000;146;256;
26000;149;262;
26000;150;255;
26500;150;255;
26500;147;261;
26500;149;259;
26500;157;265;
26500;153;254;
27000;153;270;
27000;152;273;
27000;153;264;
27000;152;264;
27000;152;260;
27500;152;263;
27500;153;271;
27500;156;267;
27500;169;318;
27500;157;267;
28000;157;283;
28000;164;290;
28000;173;274;
28000;157;272;
28000;156;272;
28500;165;291;
28500;160;277;
28500;160;276;
28500;165;274;
28500;164;275;
29000;162;287;
29000;166;283;
29000;163;288;
29000;164;276;
29000;164;279;
29500;173;286;
29500;167;283;
29500;169;286;
29500;165;286;
29500;166;291;
30000;170;293;
30000;199;352;
30000;194;325;
30000;167;295;
30000;169;286;
30500;178;296;
30500;175;299;
30500;173;292;
30500;176;296;
30500;170;295;
31000;179;301;
31000;186;327;
31000;183;313;
31000;176;300;
31000;177;309;
31500;178;303;
31500;176;310;
31500;172;313;
31500;179;310;
31500;174;299;
32000;177;313;
32000;181;307;
32000;176;303;
32000;183;303;
32000;176;335;
32500;198;327;
32500;182;316;
32500;191;310;
32500;177;313;
32500;184;309;
33000;184;330;
33000;195;316;
33000;187;340;
33000;188;327;
33000;207;319;
33500;198;321;
33500;190;322;
33500;198;324;
33500;194;340;
33500;206;363;
34000;184;473;
34000;258;425;
34000;195;367;
34000;224;364;
34000;210;325;
34500;192;328;
34500;200;328;
34500;192;374;
34500;198;331;
34500;193;352;
35000;204;350;
35000;199;346;
35000;202;339;
35000;198;347;
35000;215;359;
35500;216;399;
35500;217;377;
35500;201;351;
35500;198;342;
35500;207;339;
36000;220;362;
36000;223;388;
36000;216;376;
36000;221;367;
36000;215;354;
36500;204;359;
36500;205;375;
36500;208;345;
36500;212;346;
36500;201;354;
37000;218;349;
37000;205;355;
37000;204;349;
37000;202;357;
37000;202;355;
37500;208;370;
37500;213;357;
37500;209;373;
37500;208;361;
37500;217;358;
38000;217;371;
38000;218;371;
38000;225;430;
38000;215;361;
38000;215;371;
38500;219;371;
38500;246;393;
38500;217;383;
38500;215;371;
38500;216;377;
39000;215;369;
39000;229;456;
39000;269;457;
39000;253;426;
39000;260;384;
39500;236;397;
39500;233;443;
39500;239;433;
39500;262;436;
39500;231;391;
