Iterations;Runtime;
1000;74;228;
1000;70;198;
1000;69;195;
1000;67;198;
1000;73;195;
2000;138;402;
2000;141;416;
2000;130;400;
2000;135;408;
2000;131;403;
3000;208;605;
3000;186;610;
3000;197;594;
3000;189;578;
3000;204;595;
4000;257;776;
4000;255;764;
4000;263;843;
4000;268;838;
4000;270;764;
5000;327;965;
5000;342;982;
5000;336;977;
5000;330;982;
5000;340;984;
6000;394;1142;
6000;396;1214;
6000;406;1172;
6000;419;1169;
6000;407;1208;
7000;491;1426;
7000;476;1404;
7000;484;1384;
7000;469;1409;
7000;460;1386;
8000;540;1612;
8000;541;1563;
8000;528;1585;
8000;556;1706;
8000;542;1551;
9000;563;1713;
9000;620;1783;
9000;611;1765;
9000;598;1751;
9000;612;1716;
10000;653;1982;
10000;683;2124;
10000;673;2049;
10000;715;2016;
10000;717;1934;
11000;762;2128;
11000;736;2191;
11000;718;2021;
11000;691;2020;
11000;696;2043;
12000;808;2274;
12000;790;2206;
12000;778;2366;
12000;767;2619;
12000;970;2674;
13000;900;2692;
13000;908;2687;
13000;910;2581;
13000;899;2677;
13000;899;2538;
14000;959;2860;
14000;964;2881;
14000;964;2738;
14000;974;2939;
14000;934;3390;
15000;1063;3059;
15000;1021;2934;
15000;1018;2927;
15000;1031;3116;
15000;1025;3041;
16000;1073;3183;
16000;1079;3224;
16000;1053;3166;
16000;1088;3264;
16000;1102;3165;
17000;1122;3449;
17000;1147;3353;
17000;1163;3307;
17000;1147;3362;
17000;1143;3298;
18000;1214;3655;
18000;1210;3552;
18000;1213;3533;
18000;1215;3611;
18000;1187;3537;
19000;1278;3664;
19000;1316;3916;
19000;1342;3841;
19000;1316;3852;
19000;1279;3740;
