Iterations;Runtime;
1000;24;55;
1000;22;53;
1000;20;48;
1000;20;44;
1000;21;46;
2000;39;89;
2000;42;88;
2000;40;89;
2000;40;91;
2000;40;91;
3000;61;149;
3000;62;139;
3000;57;132;
3000;61;139;
3000;59;133;
4000;82;182;
4000;80;177;
4000;80;179;
4000;83;179;
4000;86;176;
5000;101;235;
5000;101;225;
5000;105;234;
5000;96;248;
5000;102;224;
6000;122;279;
6000;121;268;
6000;121;270;
6000;127;268;
6000;130;282;
7000;146;351;
7000;156;342;
7000;139;321;
7000;147;328;
7000;136;334;
8000;166;375;
8000;163;375;
8000;159;362;
8000;172;400;
8000;170;356;
9000;182;501;
9000;200;458;
9000;203;512;
9000;214;523;
9000;219;519;
10000;193;431;
10000;244;465;
10000;203;456;
10000;199;453;
10000;219;466;
11000;254;581;
11000;241;555;
11000;252;518;
11000;222;521;
11000;235;562;
12000;255;532;
12000;228;496;
12000;227;679;
12000;271;557;
12000;232;525;
13000;258;544;
13000;251;572;
13000;250;570;
13000;249;613;
13000;269;651;
14000;274;602;
14000;277;604;
14000;276;586;
14000;261;604;
14000;271;609;
15000;292;657;
15000;280;659;
15000;286;676;
15000;279;648;
15000;291;648;
16000;316;690;
16000;321;674;
16000;305;679;
16000;309;681;
16000;322;688;
17000;332;731;
17000;338;741;
17000;335;805;
17000;333;731;
17000;332;722;
18000;361;788;
18000;346;768;
18000;334;778;
18000;346;794;
18000;351;787;
19000;367;832;
19000;359;840;
19000;369;804;
19000;374;822;
19000;362;822;
