Iterations;Runtime;
1000;75;222;
1000;72;213;
1000;74;214;
1000;72;215;
1000;75;229;
2000;145;463;
2000;150;492;
2000;150;483;
2000;138;434;
2000;143;432;
3000;211;667;
3000;211;680;
3000;212;635;
3000;216;667;
3000;213;703;
4000;286;899;
4000;291;871;
4000;288;885;
4000;284;879;
4000;284;872;
5000;374;1098;
5000;355;1124;
5000;355;1080;
5000;358;1071;
5000;374;1089;
6000;429;1275;
6000;421;1315;
6000;429;1320;
6000;430;1287;
6000;425;1270;
7000;511;1508;
7000;493;1513;
7000;535;1567;
7000;492;1592;
7000;495;1583;
8000;560;1757;
8000;574;1805;
8000;592;1791;
8000;582;1765;
8000;553;1735;
9000;627;1965;
9000;669;2045;
9000;650;1973;
9000;648;1986;
9000;647;1913;
10000;714;2164;
10000;712;2179;
10000;725;2168;
10000;713;2132;
10000;688;2189;
11000;807;2464;
11000;815;2388;
11000;782;2465;
11000;776;2450;
11000;807;2749;
12000;868;2788;
12000;880;2720;
12000;872;2810;
12000;880;2655;
12000;863;2784;
13000;930;2835;
13000;908;2837;
13000;954;2969;
13000;944;3024;
13000;1039;3042;
14000;1081;3034;
14000;1022;3067;
14000;992;3207;
14000;1003;3034;
14000;1018;3051;
15000;1106;3336;
15000;1103;3307;
15000;1092;3377;
15000;1084;3434;
15000;1103;3367;
16000;1171;3604;
16000;1151;3446;
16000;1152;3547;
16000;1144;3506;
16000;1181;3557;
17000;1248;3957;
17000;1245;3831;
17000;1264;3903;
17000;1225;3964;
17000;1257;3851;
18000;1220;4012;
18000;1303;4445;
18000;1316;3995;
18000;1286;3916;
18000;1302;3981;
19000;1363;4156;
19000;1361;4186;
19000;1376;4204;
19000;1359;4161;
19000;1374;4412;
