C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,01;261,062518239021;13,74013;26,51485;7,544481;
0,01;260,467008948326;13,70879;27,62223;7,762962;
0,01;261,198469042778;13,74729;29,68521;8,669004;
0,01;261,32022857666;13,7537;29,72155;7,781884;
0,01;262,553017735481;13,81858;28,36402;8,090951;
0,02;195,232991695404;10,27542;19,69692;5,626705;
0,02;195,221826672554;10,27483;19,76606;5,636488;
0,02;195,180047154427;10,27263;19,78051;5,656467;
0,02;195,249843716621;10,27631;19,65453;5,679919;
0,02;195,243251919746;10,27596;19,62948;5,675779;
0,03;165,415028810501;8,706053;16,66344;4,760632;
0,03;165,453935146332;8,708102;16,53268;4,695395;
0,03;165,486715197563;8,709826;16,48136;4,714272;
0,03;165,487861275673;8,709888;16,44254;4,706447;
0,03;165,478908419609;8,709416;16,45674;4,705261;
0,04;147,370900511742;7,756363;14,556;4,114073;
0,04;147,369557857513;7,756292;14,55978;4,114703;
0,04;147,373378515244;7,756493;14,5487;4,112977;
0,04;147,368290543556;7,756225;14,56227;4,115942;
0,04;147,39127600193;7,757435;14,54401;4,128269;
0,05;134,726722002029;7,09088;13,38029;3,783633;
0,05;134,787616491318;7,094085;13,35221;3,747491;
0,05;134,855775952339;7,097672;13,19802;3,708898;
0,05;134,864923834801;7,098154;13,17829;3,71062;
0,05;134,848803758621;7,097305;13,21368;3,710272;
0,05999999;125,51063066721;6,605823;12,28073;3,423578;
0,05999999;125,507829666138;6,605676;12,26206;3,416939;
0,05999999;125,486553370953;6,604555;12,27825;3,41507;
0,05999999;125,50298500061;6,605421;12,26227;3,409235;
0,05999999;125,505393207073;6,605547;12,2856;3,421933;
0,06999999;118,176094830036;6,219794;11,51146;3,170498;
0,06999999;118,179961442947;6,219997;11,52593;3,176968;
0,06999999;118,098444998264;6,215707;11,69276;3,216649;
0,06999999;118,179705142975;6,219985;11,52735;3,177526;
0,06999999;118,178985774517;6,219946;11,52545;3,168176;
0,07999999;112,222164809704;5,90643;10,87256;2,975348;
0,07999999;112,221946299076;5,906418;10,88755;2,974946;
0,07999999;112,147547841072;5,902503;11,07188;3,016437;
0,07999999;112,150372326374;5,902651;11,0474;3,014202;
0,07999999;112,232548892498;5,906977;10,85097;2,974931;
0,08999999;107,252681016922;5,644878;10,33381;2,812978;
0,08999999;107,257785558701;5,645147;10,31305;2,812082;
0,08999999;107,189541220665;5,641555;10,49871;2,848318;
0,08999999;107,25857514143;5,645188;10,30722;2,816358;
0,08999999;107,259206354618;5,645221;10,30699;2,817634;
0,09999999;103,024687051773;5,422351;9,847572;2,674431;
0,09999999;103,025245308876;5,422381;9,833153;2,675576;
0,09999999;103,003617167473;5,421243;9,881103;2,685487;
0,09999999;103,025990784168;5,422421;9,8465;2,679576;
0,09999999;103,025927364826;5,422418;9,844231;2,677406;
0,11;99,3657841682434;5,229778;9,428798;2,554338;
0,11;99,3628615140915;5,229624;9,432264;2,55543;
0,11;99,3673540353775;5,229861;9,434507;2,559107;
0,11;99,3636138439178;5,229664;9,433757;2,559663;
0,11;99,3620593547821;5,229582;9,43349;2,555912;
0,12;96,1538456678391;5,060729;9,091455;2,452849;
0,12;96,1546503305435;5,060771;9,086566;2,449712;
0,12;96,1528791189194;5,060678;9,090009;2,453715;
0,12;96,1088352203369;5,05836;9,181877;2,474528;
0,12;96,1088770627975;5,058362;9,181774;2,474505;
0,13;93,3073188066483;4,910912;8,789239;2,360983;
0,13;93,3061482906342;4,91085;8,78569;2,357519;
0,13;93,2657608389854;4,908724;8,842686;2,378709;
0,13;93,3110948801041;4,91111;8,782272;2,360268;
0,13;93,3054847717285;4,910815;8,790723;2,360681;
0,14;90,7553625106812;4,776597;8,515117;2,27537;
0,14;90,7559747695923;4,77663;8,514295;2,275205;
0,14;90,7620048522949;4,776947;8,521808;2,278358;
0,14;90,7477262020111;4,776196;8,527947;2,278593;
0,14;90,7575780153275;4,776715;8,519148;2,278132;
0,15;88,4573203325272;4,655649;8,277132;2,204261;
0,15;88,4261783361435;4,654009;8,317482;2,217678;
0,15;88,4581619501114;4,655692;8,27408;2,203113;
0,15;88,4561403989792;4,655587;8,270041;2,200593;
0,15;88,4591556787491;4,655745;8,267988;2,201013;
0,16;86,3699550628662;4,545788;8,04442;2,131746;
0,16;86,370080113411;4,545794;8,044426;2,131721;
0,16;86,3701215982437;4,545795;8,046259;2,133977;
0,16;86,3701046705246;4,545795;8,04436;2,131701;
0,16;86,3697515726089;4,545777;8,044578;2,131783;
0,17;84,4590579271317;4,445214;7,843564;2,070585;
0,17;84,4610761404037;4,44532;7,846248;2,072236;
0,17;84,4597474336624;4,44525;7,84225;2,071157;
0,17;84,4340493679047;4,443897;7,88498;2,08507;
0,17;84,4602768421173;4,445278;7,842962;2,070193;
0,18;82,6932456493378;4,352276;7,671661;2,018801;
0,18;82,7050094604492;4,352895;7,657619;2,014109;
0,18;82,7049862146378;4,352894;7,657415;2,013813;
0,18;82,707753777504;4,35304;7,656584;2,015096;
0,18;82,7057667970657;4,352935;7,662104;2,015779;
0,19;81,0862598419189;4,267698;7,484934;1,961264;
0,19;81,067857503891;4,26673;7,475544;1,969009;
0,19;81,0879321098328;4,267786;7,482862;1,960596;
0,19;81,0880038738251;4,26779;7,482906;1,960564;
0,19;81,0867810249329;4,267725;7,484229;1,961167;
0,2;79,5820688009262;4,18853;7,308252;1,913384;
0,2;79,5858006477356;4,188727;7,32522;1,912416;
0,2;79,5679541826248;4,187787;7,351703;1,923347;
0,2;79,5662207603455;4,187696;7,359167;1,924109;
0,2;79,5853657722473;4,188704;7,325993;1,912507;
0,21;78,1912001371384;4,115327;7,171434;1,867002;
0,21;78,1910791397095;4,11532;7,176016;1,867329;
0,21;78,1711858510971;4,114273;7,208803;1,878124;
0,21;78,1899631023407;4,115261;7,177618;1,867534;
0,21;78,171137213707;4,114271;7,20891;1,878145;
0,22;76,8861634731293;4,04664;7,03741;1,824808;
0,22;76,8840082883835;4,046526;7,05128;1,829936;
0,22;76,868395447731;4,045705;7,068696;1,835258;
