Iterations;Runtime;
1000;8;12;
1000;8;12;
1000;9;12;
1000;8;12;
1000;8;13;
2000;18;28;
2000;16;24;
2000;15;23;
2000;17;30;
2000;16;25;
3000;23;36;
3000;23;35;
3000;23;35;
3000;24;36;
3000;23;36;
4000;32;54;
4000;31;48;
4000;31;49;
4000;31;48;
4000;31;50;
5000;44;74;
5000;47;76;
5000;49;66;
5000;43;66;
5000;44;73;
6000;53;81;
6000;53;92;
6000;54;88;
6000;50;81;
6000;51;87;
7000;67;95;
7000;66;92;
7000;58;95;
7000;61;100;
7000;61;108;
8000;74;108;
8000;75;105;
8000;66;111;
8000;69;102;
8000;67;99;
9000;87;115;
9000;75;122;
9000;75;126;
9000;78;123;
9000;78;123;
10000;98;140;
10000;85;140;
10000;88;128;
10000;94;138;
10000;88;134;
11000;94;153;
11000;102;150;
11000;93;149;
11000;99;146;
11000;94;148;
12000;111;184;
12000;119;183;
12000;113;166;
12000;108;191;
12000;115;170;
13000;111;174;
13000;110;176;
13000;119;184;
13000;115;173;
13000;109;171;
14000;118;193;
14000;117;190;
14000;129;205;
14000;120;186;
14000;122;191;
15000;130;193;
15000;135;201;
15000;137;212;
15000;127;195;
15000;124;191;
16000;140;210;
16000;136;214;
16000;149;214;
16000;145;208;
16000;138;205;
17000;136;197;
17000;143;202;
17000;141;199;
17000;133;208;
17000;139;211;
18000;140;214;
18000;142;218;
18000;156;223;
18000;139;223;
18000;138;230;
19000;165;238;
19000;160;225;
19000;148;241;
19000;148;253;
19000;166;247;
