Iterations;Runtime;
1000;24;53;
1000;21;52;
1000;20;44;
1000;21;44;
1000;21;46;
2000;41;89;
2000;40;94;
2000;44;100;
2000;40;88;
2000;41;91;
3000;60;142;
3000;66;134;
3000;60;133;
3000;68;136;
3000;60;133;
4000;79;179;
4000;80;179;
4000;80;186;
4000;79;178;
4000;81;177;
5000;102;225;
5000;110;228;
5000;106;231;
5000;103;223;
5000;108;228;
6000;124;268;
6000;123;271;
6000;129;270;
6000;123;268;
6000;122;274;
7000;145;314;
7000;147;324;
7000;139;310;
7000;143;308;
7000;150;318;
8000;162;354;
8000;173;354;
8000;163;363;
8000;170;356;
8000;163;354;
9000;193;397;
9000;187;403;
9000;184;398;
9000;186;403;
9000;185;395;
10000;207;458;
10000;216;450;
10000;204;481;
10000;205;462;
10000;203;449;
11000;230;487;
11000;227;498;
11000;264;622;
11000;251;567;
11000;254;485;
12000;247;593;
12000;247;548;
12000;259;566;
12000;248;530;
12000;256;544;
13000;264;577;
13000;264;597;
13000;270;579;
13000;270;590;
13000;275;580;
14000;295;626;
14000;289;645;
14000;278;625;
14000;289;629;
14000;303;630;
15000;305;676;
15000;313;680;
15000;303;661;
15000;306;698;
15000;320;663;
16000;333;723;
16000;333;707;
16000;332;706;
16000;335;724;
16000;332;755;
17000;362;769;
17000;347;777;
17000;343;795;
17000;347;765;
17000;355;759;
18000;364;841;
18000;378;793;
18000;372;803;
18000;374;804;
18000;381;807;
19000;392;839;
19000;393;873;
19000;399;951;
19000;416;917;
19000;404;910;
