Iterations;Runtime;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
23;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
19;0;
