Iterations;Runtime;
1000;7;12;
1000;7;10;
1000;7;12;
1000;6;12;
1000;6;12;
2000;12;23;
2000;12;20;
2000;12;19;
2000;12;20;
2000;12;20;
3000;19;30;
3000;17;30;
3000;17;30;
3000;18;30;
3000;17;35;
4000;24;39;
4000;23;41;
4000;24;43;
4000;25;44;
4000;26;46;
5000;33;55;
5000;31;56;
5000;31;54;
5000;31;50;
5000;30;49;
6000;35;59;
6000;38;65;
6000;42;80;
6000;45;76;
6000;39;65;
7000;44;72;
7000;42;74;
7000;42;70;
7000;42;72;
7000;42;71;
8000;48;81;
8000;54;86;
8000;48;81;
8000;49;80;
8000;48;82;
9000;53;91;
9000;54;89;
9000;55;89;
9000;53;93;
9000;54;89;
10000;64;100;
10000;60;100;
10000;61;99;
10000;60;99;
10000;62;106;
11000;69;118;
11000;72;110;
11000;67;109;
11000;65;112;
11000;66;110;
12000;72;120;
12000;73;128;
12000;72;122;
12000;72;123;
12000;73;120;
13000;78;130;
13000;79;135;
13000;79;130;
13000;78;130;
13000;79;130;
14000;86;148;
14000;84;150;
14000;86;141;
14000;84;140;
14000;84;142;
15000;91;152;
15000;105;150;
15000;90;149;
15000;91;151;
15000;91;151;
16000;96;168;
16000;97;161;
16000;95;159;
16000;94;163;
16000;95;167;
17000;104;170;
17000;103;168;
17000;104;173;
17000;109;169;
17000;101;170;
18000;107;185;
18000;104;191;
18000;109;180;
18000;109;179;
18000;108;189;
19000;117;196;
19000;114;191;
19000;115;188;
19000;114;196;
19000;115;190;
1;107;
10500;61;104;
11000;63;108;
11000;62;105;
11000;64;116;
11000;66;115;
11000;64;113;
11500;70;113;
11500;67;120;
11500;66;113;
11500;67;111;
11500;68;118;
12000;81;139;
12000;71;123;
12000;73;126;
12000;73;120;
12000;70;116;
12500;72;126;
12500;75;123;
12500;72;126;
12500;72;123;
12500;76;123;
13000;75;129;
13000;84;127;
13000;76;129;
13000;76;127;
13000;76;127;
13500;81;143;
13500;86;134;
13500;78;133;
13500;78;135;
13500;79;132;
14000;84;149;
14000;84;156;
14000;90;156;
14000;82;138;
14000;79;141;
14500;94;154;
14500;92;160;
14500;91;144;
14500;84;142;
14500;83;157;
15000;88;150;
15000;87;148;
15000;88;163;
15000;92;166;
15000;87;151;
15500;107;182;
15500;98;162;
15500;99;173;
15500;90;161;
15500;100;157;
16000;92;159;
16000;97;172;
16000;97;166;
16000;109;173;
16000;111;185;
16500;113;179;
16500;97;177;
16500;114;183;
16500;109;183;
16500;104;180;
17000;104;186;
17000;106;199;
17000;104;185;
17000;101;174;
17000;107;167;
17500;111;180;
17500;100;174;
17500;109;169;
17500;100;170;
17500;101;179;
18000;102;177;
18000;104;178;
18000;106;187;
18000;110;183;
18000;101;180;
18500;107;183;
18500;107;187;
18500;107;180;
18500;108;181;
18500;107;182;
19000;112;190;
19000;110;185;
19000;109;188;
19000;109;193;
19000;110;183;
19500;112;191;
19500;114;193;
19500;118;207;
19500;115;190;
19500;120;211;
20000;112;203;
20000;130;211;
20000;131;207;
20000;117;207;
20000;116;200;
20500;122;201;
20500;121;212;
20500;124;201;
20500;121;205;
20500;119;210;
21000;124;216;
21000;122;249;
21000;121;210;
21000;120;210;
21000;123;207;
21500;134;219;
21500;123;209;
21500;123;220;
21500;124;218;
21500;122;217;
22000;135;215;
22000;148;282;
22000;135;229;
22000;126;233;
22000;135;265;
22500;130;239;
22500;136;237;
22500;157;239;
22500;139;240;
22500;130;231;
23000;137;252;
23000;142;224;
23000;144;234;
23000;149;266;
23000;150;249;
23500;149;255;
23500;137;256;
23500;132;258;
23500;135;240;
23500;144;251;
24000;136;263;
24000;149;237;
24000;141;240;
24000;152;233;
24000;139;236;
24500;144;241;
24500;142;292;
24500;150;240;
24500;141;248;
24500;142;239;
25000;144;264;
25000;166;255;
25000;153;273;
25000;169;301;
25000;151;259;
25500;146;248;
25500;153;253;
25500;149;255;
25500;149;267;
25500;160;258;
26000;161;290;
26000;152;266;
26000;163;282;
26000;158;256;
26000;161;269;
26500;152;265;
26500;173;288;
26500;164;273;
26500;172;273;
26500;150;280;
27000;157;280;
27000;168;278;
27000;154;259;
27000;181;268;
27000;153;281;
27500;164;275;
27500;159;279;
27500;166;280;
27500;160;281;
27500;163;279;
28000;180;282;
28000;163;287;
28000;168;276;
28000;161;278;
28000;163;288;
28500;166;313;
28500;172;287;
28500;167;317;
28500;182;327;
28500;173;306;
29000;182;308;
29000;178;282;
29000;171;342;
29000;184;307;
29000;175;314;
29500;199;321;
29500;182;324;
29500;208;313;
29500;180;298;
29500;176;295;
30000;172;314;
30000;187;327;
30000;176;296;
30000;180;306;
30000;175;319;
30500;183;324;
30500;196;351;
30500;188;312;
30500;190;315;
30500;177;308;
31000;178;301;
31000;178;314;
31000;179;305;
31000;183;317;
31000;197;327;
31500;181;313;
31500;181;306;
31500;181;324;
31500;181;307;
31500;181;314;
