Iterations;Runtime;
1000;74;213;
1000;69;201;
1000;67;214;
1000;68;205;
1000;69;220;
2000;137;424;
2000;134;426;
2000;138;435;
2000;144;410;
2000;135;416;
3000;206;627;
3000;208;656;
3000;206;642;
3000;214;615;
3000;207;629;
4000;264;811;
4000;276;834;
4000;276;856;
4000;272;789;
4000;281;826;
5000;350;1004;
5000;338;1000;
5000;364;1033;
5000;347;1007;
5000;343;1001;
6000;414;1216;
6000;420;1206;
6000;431;1225;
6000;414;1249;
6000;413;1220;
7000;500;1445;
7000;489;1463;
7000;480;1420;
7000;473;1396;
7000;477;1495;
8000;555;1619;
8000;525;1643;
8000;537;1617;
8000;554;1624;
8000;554;1635;
9000;629;1850;
9000;613;1839;
9000;628;1874;
9000;630;1922;
9000;623;1835;
10000;719;2128;
10000;711;2179;
10000;706;2132;
10000;691;2028;
10000;715;2018;
11000;760;2272;
11000;745;2284;
11000;741;2334;
11000;779;2207;
11000;747;2243;
12000;827;2409;
12000;829;2446;
12000;842;2433;
12000;845;2438;
12000;809;2473;
13000;913;2664;
13000;881;2655;
13000;901;2661;
13000;922;2828;
13000;935;2723;
14000;973;2875;
14000;979;3049;
14000;978;2824;
14000;985;2907;
14000;960;2859;
15000;1028;3111;
15000;1030;3075;
15000;1045;3010;
15000;1035;3079;
15000;1017;2978;
16000;1114;3218;
16000;1089;3191;
16000;1114;3268;
16000;1090;3287;
16000;1122;3285;
17000;1136;3635;
17000;1160;3555;
17000;1194;3639;
17000;1208;3539;
17000;1180;3611;
18000;1259;4035;
18000;1327;3778;
18000;1226;3611;
18000;1244;3696;
18000;1209;3670;
19000;1230;3819;
19000;1307;3877;
19000;1259;3833;
19000;1588;3893;
19000;1306;3966;
