Iterations;Runtime;
1000;68;205;
1000;68;200;
1000;68;205;
1000;69;198;
1000;67;214;
2000;128;406;
2000;129;390;
2000;127;397;
2000;133;392;
2000;129;406;
3000;202;588;
3000;206;590;
3000;201;601;
3000;206;592;
3000;203;593;
4000;269;793;
4000;274;806;
4000;258;801;
4000;270;794;
4000;273;803;
5000;340;1014;
5000;329;996;
5000;339;990;
5000;326;981;
5000;342;987;
6000;414;1200;
6000;398;1175;
6000;402;1223;
6000;406;1264;
6000;426;1224;
7000;492;1421;
7000;469;1372;
7000;454;1419;
7000;495;1425;
7000;449;1410;
8000;541;1700;
8000;574;1655;
8000;561;1738;
8000;570;1702;
8000;559;1640;
9000;624;1892;
9000;620;1911;
9000;601;1833;
9000;626;1778;
9000;612;1867;
10000;705;2056;
10000;698;2012;
10000;678;2007;
10000;684;2054;
10000;691;1987;
11000;734;2200;
11000;752;2251;
11000;761;2201;
11000;728;2208;
11000;693;2149;
12000;803;2621;
12000;812;2647;
12000;831;2358;
12000;802;2386;
12000;806;2410;
13000;881;2632;
13000;868;2579;
13000;867;2580;
13000;877;2605;
13000;859;2551;
14000;945;2750;
14000;947;2794;
14000;879;2747;
14000;947;2712;
14000;944;2883;
15000;1016;3003;
15000;1032;3014;
15000;992;2979;
15000;1027;2991;
15000;994;2957;
16000;1094;3229;
16000;1088;3165;
16000;1078;3141;
16000;1077;3159;
16000;1076;3176;
17000;1127;3375;
17000;1153;3316;
17000;1154;3402;
17000;1141;3341;
17000;1161;3358;
18000;1255;3789;
18000;1207;3596;
18000;1232;3553;
18000;1223;3553;
18000;1257;3694;
19000;1312;3855;
19000;1271;3845;
19000;1284;3960;
19000;1304;4015;
19000;1294;3703;
