Iterations;Runtime;
1000;9;14;
1000;8;14;
1000;9;13;
1000;8;13;
1000;9;14;
2000;17;26;
2000;15;24;
2000;17;26;
2000;15;23;
2000;14;22;
3000;21;33;
3000;24;34;
3000;22;34;
3000;22;33;
3000;22;34;
4000;29;43;
4000;29;46;
4000;29;45;
4000;29;44;
4000;29;45;
5000;37;57;
5000;38;67;
5000;38;75;
5000;44;71;
5000;38;59;
6000;46;69;
6000;44;71;
6000;45;76;
6000;44;72;
6000;46;69;
7000;53;78;
7000;60;82;
7000;55;89;
7000;52;88;
7000;52;88;
8000;58;100;
8000;61;92;
8000;58;89;
8000;65;89;
8000;58;90;
9000;65;100;
9000;66;101;
9000;67;104;
9000;66;104;
9000;67;111;
10000;74;115;
10000;72;113;
10000;75;112;
10000;80;122;
10000;79;128;
11000;85;132;
11000;85;130;
11000;81;135;
11000;80;123;
11000;80;130;
12000;91;144;
12000;94;150;
12000;93;138;
12000;88;146;
12000;99;144;
13000;94;146;
13000;94;144;
13000;94;143;
13000;100;144;
13000;97;155;
14000;102;165;
14000;104;160;
14000;114;162;
14000;108;172;
14000;107;176;
15000;116;178;
15000;110;171;
15000;116;176;
15000;109;187;
15000;114;180;
16000;118;183;
16000;120;183;
16000;118;192;
16000;118;183;
16000;120;183;
17000;128;194;
17000;137;197;
17000;127;198;
17000;128;194;
17000;134;194;
18000;133;217;
18000;135;206;
18000;138;212;
18000;135;224;
18000;136;212;
19000;153;241;
19000;142;219;
19000;140;232;
19000;147;224;
19000;143;219;
